location,size,total_sqft,bath,price
Rajaji Nagar,3.0,2300.0,4.0,240.0
 Devarachikkanahalli,2.0,947.0,2.0,43.0
Ganga Nagar Extension,3.0,1000.0,2.0,65.0
Tala Cauvery Layout,3.0,1720.0,2.0,126.0
5th Phase JP Nagar,2.0,812.0,2.0,42.0
Mahadevpura,3.0,1620.0,2.0,76.0
Malleshwaram,8.0,840.0,7.0,195.0
Kanakpura Road,2.0,1339.0,2.0,58.0
Panathur,3.0,1370.0,2.0,54.8
Motappa Layout,3.0,1360.0,2.0,65.0
Dodda Banaswadi,2.0,1120.0,2.0,36.0
Uttarahalli,2.0,1050.0,2.0,42.0
Marathahalli,2.0,1250.0,2.0,68.0
6th Phase JP Nagar,2.0,1280.0,2.0,88.0
Garudachar Palya,3.0,1960.0,3.0,160.0
Dasanapura,2.0,814.0,2.0,42.0
Vajarahalli,1.0,551.0,1.0,30.0
Venkatadri Layout,1.0,595.0,1.0,42.0
Abbigere,3.0,1260.0,2.0,45.0
NRI Layout,3.0,1565.0,2.0,75.0
KSRTC Layout,2.0,1200.0,2.0,62.5
Vishveshwarya Layout,3.0,600.0,4.0,99.0
Bharathi Nagar,3.0,1664.0,3.0,69.89
Sarjapur  Road,4.0,3200.0,4.0,350.0
Kanakpura Road,3.0,1300.0,3.0,69.0
Hennur Road,3.0,2264.0,3.0,159.0
Kadugodi,3.0,1430.0,2.0,55.0
Electronic City,2.0,1060.0,2.0,51.0
Whitefield,1.0,840.0,1.0,57.0
Thigalarapalya,2.0,1418.0,2.0,105.0
Bommenahalli,3.0,832.0,3.0,77.0
Kundalahalli,2.0,1175.0,2.0,65.0
Virat Nagar,2.0,1205.0,2.0,42.18
Banashankari Stage II,4.0,1500.0,2.0,650.0
Mahalakshmi Layout,3.0,1876.0,3.0,150.0
Hebbal,2.0,1320.0,2.0,91.0
Chikkalasandra,2.0,1224.0,2.0,45.0
Millers Road,3.0,2850.0,4.0,460.0
Dasarahalli,2.0,1220.0,2.0,62.0
Green Glen Layout,2.0,1250.0,2.0,75.0
Hebbal,2.0,1072.0,2.0,45.0
Whitefield,3.0,1585.0,3.0,88.0
Pillahalli,3.0,1900.0,2.0,92.0
KR Puram,3.0,1455.0,3.0,46.0
Subramanyapura,2.0,929.0,2.0,56.0
Kanakpura Road,2.0,1628.0,2.0,68.0
Cunningham Road,3.0,2700.0,3.0,501.0
Soundarya Layout,2.0,900.0,2.0,27.0
Bannerghatta Road,2.0,1400.0,2.0,78.0
Nagarbhavi,3.0,1630.0,2.0,98.0
Budigere,2.0,1139.0,2.0,62.0
Hommadevanahalli,2.0,927.0,2.0,50.0
KR Puram,2.0,1100.0,2.0,43.0
Gollarapalya Hosahalli,2.0,861.0,2.0,34.5
Kengeri,1.0,340.0,1.0,10.0
Hoskote,2.0,1065.0,2.0,33.75
Neeladri Nagar,2.0,1060.0,2.0,35.0
Gubbalala,4.0,4000.0,5.0,195.0
Uttarahalli,3.0,1385.0,2.0,48.48
Bommanahalli,3.0,1300.0,3.0,45.0
Old Madras Road,3.0,2425.0,3.0,197.0
4th T block Jayanagar,4.0,2080.0,4.0,440.0
Peenya,4.0,1200.0,4.0,140.0
Ambalipura,2.0,1351.0,2.0,77.0
Sarjapur  Road,1.0,691.0,1.0,31.1
Thanisandra,2.0,1100.0,2.0,38.0
3rd Block Hrbr Layout,5.0,1200.0,5.0,190.0
Kanakpura Road,1.0,458.0,1.0,33.66
Electronic City Phase II,2.0,1031.0,2.0,55.0
Sarjapur  Road,3.0,1220.0,3.0,56.0
Sarakki Nagar,3.0,2289.0,3.0,260.0
Hosur Road,2.0,1345.0,2.0,106.0
7th Phase JP Nagar,2.0,1050.0,2.0,75.0
Begur Road,3.0,1565.0,2.0,56.0
Brookefield,4.0,3050.0,4.0,130.0
JP Nagar,2.0,1152.0,2.0,34.56
Chandapura,2.0,1200.0,2.0,65.0
Hennur,4.0,2557.0,,170.0
Green Glen Layout,3.0,1625.0,3.0,70.0
Anand nagar,3.0,2010.0,3.0,125.0
Byrasandra,2.0,1140.0,2.0,60.0
Madiwala,2.0,1165.0,2.0,45.0
Ejipura,2.0,1200.0,2.0,60.0
Marathahalli,2.0,1200.0,2.0,52.0
Marathahalli,2.0,1220.0,2.0,57.0
Milk Colony,4.0,1200.0,4.0,240.0
Anwar Layout,1.0,720.0,1.0,32.39
Reliaable Tranquil Layout,3.0,1508.0,3.0,77.0
Haralur Road,3.0,1560.0,3.0,90.0
Electronic City,2.0,1353.0,2.0,75.0
Kenchenahalli,2.0,1015.0,2.0,60.0
KR Garden,2.0,1300.0,2.0,60.0
Hennur Road,3.0,1949.0,3.0,133.0
Raja Rajeshwari Nagar,2.0,1095.0,2.0,38.33
Mysore Road,3.0,1360.0,3.0,47.6
Doddabommasandra,3.0,1550.0,2.0,70.0
Balagere,2.0,1205.0,2.0,70.0
1st Phase JP Nagar,8.0,1200.0,7.0,240.0
Parappana Agrahara,2.0,1194.0,2.0,46.0
Kanakapura,2.0,1283.0,2.0,68.0
Hoodi,2.0,1257.0,2.0,71.03
Pattandur Agrahara,3.0,1550.0,2.0,80.0
tc.palya,2.0,1000.0,2.0,55.0
Chandapura,2.0,900.0,2.0,35.0
Haralur Road,2.0,1092.0,2.0,44.0
Narayana Nagar 1st Block,2.0,1202.0,2.0,48.0
Electronic City,3.0,1644.0,3.0,92.59
Sarjapur  Road,2.0,1117.0,2.0,29.99
Ramamurthy Nagar,2.0,1050.0,2.0,37.0
Kengeri Satellite Town,2.0,800.0,2.0,40.0
Anekal,2.0,1200.0,1.0,36.0
Sarjapur  Road,3.0,1565.0,3.0,78.0
Subramanyapura,2.0,960.0,2.0,55.0
Sarjapur,3.0,1333.0,3.0,50.0
Sonnenahalli,3.0,1484.0,3.0,74.18
JP Nagar,4.0,3200.0,5.0,309.0
Dasanapura,2.0,965.0,2.0,42.5
Nagarbhavi,3.0,1350.0,3.0,60.0
Chikkalasandra,3.0,1290.0,2.0,56.12
Kothanur,2.0,1075.0,2.0,53.0
Electronic City,2.0,1025.0,2.0,54.1
Sarjapur  Road,2.0,1045.0,2.0,42.15
Gowdanapalya,1.0,510.0,1.0,34.0
Raja Rajeshwari Nagar,2.0,1306.0,2.0,44.17
Lakshminarayana Pura,2.0,1210.0,2.0,75.0
Kanakpura Road,3.0,1495.0,2.0,52.33
Badavala Nagar,3.0,1842.0,3.0,115.0
Koppa,3.0,720.0,3.0,48.0
Electronic City,3.0,1500.0,2.0,63.0
Kothanur,3.0,1828.0,3.0,110.0
Raja Rajeshwari Nagar,2.0,1260.0,2.0,67.39
Maruthi nagar kogilu,2.0,1200.0,3.0,78.0
Subramanyapura,3.0,1245.0,2.0,68.0
Rajaji Nagar,5.0,2500.0,4.0,650.0
Hennur Road,2.0,1480.0,2.0,65.0
Hebbal,3.0,1110.0,3.0,59.0
Old Madras Road,3.0,2266.0,3.0,169.0
Kambipura,2.0,883.0,2.0,39.0
Marathahalli,3.0,1595.0,3.0,88.0
Electronics City Phase 1,3.0,1330.0,2.0,44.0
Pai Layout,2.0,1050.0,2.0,40.0
Bellandur,3.0,2000.0,3.0,85.0
Kadugodi,2.0,1394.0,2.0,56.0
Electronic City,1.0,635.0,1.0,28.0
Vittasandra,2.0,1246.0,2.0,67.4
Abbigere,5.0,1200.0,4.0,98.0
Rajiv Gandhi Nagar,3.0,1750.0,3.0,100.0
Malleshwaram,4.0,2500.0,5.0,325.0
Ramamurthy Nagar,2.0,1000.0,2.0,62.0
Kogilu,3.0,1559.0,3.0,120.0
Kanakpura Road,3.0,1452.0,3.0,60.98
Sarjapur  Road,3.0,1380.0,2.0,55.0
Kanakpura Road,3.0,1550.0,3.0,65.11
Dodda Nekkundi,2.0,1315.0,2.0,50.0
Ramamurthy Nagar,2.0,1050.0,2.0,37.8
Subramanyapura,3.0,2495.0,3.0,130.0
Attibele,1.0,418.0,1.0,12.0
Sarjapura - Attibele Road,3.0,2400.0,3.0,85.0
HMT Layout,3.0,1650.0,3.0,75.0
Keshava Nagar,2.0,1279.0,2.0,100.0
Uttarahalli,3.0,1360.0,2.0,47.59
Dasanapura,2.0,966.0,2.0,58.0
Basapura,2.0,1100.0,2.0,60.0
Kalkere Channasandra,2.0,1200.0,2.0,53.0
Kengeri,1.0,600.0,1.0,35.0
Jigani,3.0,1231.0,3.0,58.0
Sarjapur  Road,3.0,1770.0,3.0,180.0
Varthur,2.0,1111.0,2.0,41.88
Hebbal,3.0,2400.0,4.0,245.0
Munnekollal,2.0,950.0,2.0,46.5
6th Phase JP Nagar,2.0,1140.0,2.0,65.0
Hebbal,3.0,2600.0,3.0,195.0
Old Madras Road,3.0,2266.0,3.0,207.0
Jakkur,3.0,1710.0,3.0,107.0
2nd Phase JP Nagar,3.0,1200.0,3.0,190.0
HSR Layout,4.0,2400.0,4.0,350.0
Yelahanka,3.0,1705.0,3.0,95.0
Bhoganhalli,3.0,1718.0,3.0,90.2
Hegde Nagar,3.0,1884.0,4.0,118.0
Electronic City Phase II,2.0,1000.0,2.0,28.88
Hennur,2.0,1100.0,2.0,44.55
Marathahalli,2.0,1350.0,2.0,86.0
Raja Rajeshwari Nagar,3.0,1850.0,3.0,98.0
"Basnashankari,6th stage,",3.0,600.0,3.0,54.0
BTM 1st Stage,3.0,1717.0,3.0,200.0
Kumaraswami Layout,4.0,2600.0,4.0,325.0
Rajaji Nagar,3.0,1640.0,3.0,230.0
Telecom Layout,2.0,1200.0,2.0,54.0
1st Phase JP Nagar,4.0,2825.0,4.0,250.0
Hebbal,3.0,1586.0,3.0,90.0
Sarjapur  Road,3.0,1450.0,2.0,75.0
Yelahanka,2.0,1023.0,2.0,52.59
Laggere,8.0,1800.0,8.0,110.0
Mallathahalli,2.0,1200.0,2.0,79.0
Raja Rajeshwari Nagar,3.0,1608.0,3.0,67.98
Kundalahalli,3.0,1800.0,3.0,110.0
Hennur Road,2.0,1385.0,2.0,83.09
Bannerghatta,2.0,1113.0,2.0,70.0
BTM 1st Stage,4.0,1100.0,5.0,121.0
Thanisandra main road,3.0,3144.0,3.0,455.0
Hennur Road,3.0,1100.0,2.0,78.0
Bannerghatta,4.0,810.0,4.0,50.0
Kaggadasapura,2.0,1110.0,2.0,53.0
Hosa Road,2.0,1040.0,2.0,61.0
Balagere,2.0,1007.0,2.0,66.0
Gunjur,2.0,1235.0,2.0,52.76
Thubarahalli,3.0,1885.0,3.0,85.52
Kasavanhalli,2.0,1200.0,2.0,60.0
Ulsoor,4.0,36000.0,4.0,450.0
Raja Rajeshwari Nagar,2.0,1255.0,2.0,53.87
Subramanyapura,3.0,1400.0,2.0,55.0
Kanakpura Road,3.0,1843.0,3.0,92.15
Thanisandra,3.0,1588.0,3.0,75.55
Sahakara Nagar,2.0,1150.0,2.0,54.0
Kanakpura Road,2.0,1309.0,2.0,64.39
Yelahanka,2.0,1322.0,2.0,77.9
Kanakpura Road,1.0,458.0,1.0,19.695
Koramangala,3.0,1594.0,3.0,125.0
Bommanahalli,3.0,1850.0,3.0,90.0
Kanakpura Road,2.0,1331.0,2.0,107.0
Kammasandra,2.0,990.0,2.0,31.5
Dommasandra,2.0,674.0,1.0,19.9
Varthur,3.0,2145.0,3.0,165.0
Gottigere,2.0,1200.0,2.0,40.0
Varthur Road,2.0,1033.0,2.0,32.0
Uttarahalli,2.0,1120.0,2.0,50.0
CV Raman Nagar,3.0,1659.0,3.0,135.0
 Mysore Highway,3.0,1450.0,2.0,70.0
Bellandur,2.0,1250.0,2.0,76.0
Thanisandra,3.0,1595.0,3.0,120.0
"Thanisandra Main Road, ",4.0,2872.0,4.0,183.0
Outer Ring Road East,3.0,1738.0,3.0,110.0
Kanakpura Road,2.0,900.0,2.0,41.0
7th Phase JP Nagar,3.0,1575.0,2.0,120.0
Raja Rajeshwari Nagar,2.0,1140.0,2.0,44.0
Varthur,3.0,2160.0,3.0,170.0
Ramamurthy Nagar,4.0,3700.0,4.0,225.0
Sanne Amanikere,1.0,655.0,1.0,27.0
Bagalakunte,5.0,750.0,3.0,95.0
Srirampuram,2.0,432.0,2.0,40.0
Yelahanka,3.0,1825.0,3.0,105.0
Cox Town,2.0,1000.0,2.0,58.0
Whitefield,3.0,1697.0,3.0,115.0
Raja Rajeshwari Nagar,1.0,500.0,1.0,25.0
7th Phase JP Nagar,2.0,1050.0,2.0,50.0
Uttarahalli,2.0,1160.0,2.0,40.6
Channasandra,2.0,1065.0,2.0,40.47
Bhoganhalli,3.0,1395.0,2.0,70.0
JP Nagar,3.0,1520.0,3.0,125.0
Kadugodi,2.0,1100.0,2.0,45.0
2nd Stage Nagarbhavi,4.0,1500.0,4.0,220.0
Electronic City Phase II,3.0,1549.0,3.0,80.0
Attibele,2.0,656.0,2.0,25.0
Kanakapura main  Road,3.0,1495.0,2.0,52.33
"Varthur Road, ",2.0,1330.0,2.0,64.0
Iblur Village,3.0,1920.0,3.0,150.0
Hebbal,4.0,4225.0,6.0,359.0
Versova Layout,4.0,3700.0,4.0,400.0
Whitefield,3.0,1660.0,3.0,110.0
Singena Agrahara,3.0,1500.0,3.0,90.0
Yeshwanthpur,2.0,1170.0,2.0,57.0
Hulimavu,2.0,1175.0,2.0,45.0
Ashwath Nagar,2.0,1262.0,2.0,63.0
Ramagondanahalli,3.0,1610.0,2.0,112.0
Kothannur,3.0,1275.0,3.0,44.0
kanakapura main road,2.0,1041.0,2.0,36.44
Banashankari,4.0,2500.0,4.0,95.0
Harlur,2.0,1033.0,2.0,49.0
Anekal,2.0,1200.0,2.0,36.1
Hebbal,4.0,2790.0,5.0,198.0
Hegde Nagar,3.0,1801.0,3.0,115.0
Electronic City,2.0,1128.0,2.0,65.58
Kanakpura Road,2.0,950.0,2.0,40.0
Hulimavu,1.0,581.0,1.0,29.0
Sarjapur  Road,4.0,4050.0,2.0,450.0
Panathur,2.0,1198.0,2.0,77.0
Hennur Road,3.0,2089.0,3.0,140.0
Hormavu,2.0,1400.0,2.0,75.0
Frazer Town,2.0,1200.0,2.0,78.0
Yelahanka,3.0,1275.0,2.0,95.0
Thanisandra,2.0,1265.0,2.0,46.6
Electronics City Phase 1,3.0,1900.0,3.0,85.0
Raja Rajeshwari Nagar,1.0,510.0,1.0,22.0
Garudachar Palya,2.0,1060.0,2.0,48.5
Raja Rajeshwari Nagar 5th Stage,2.0,1056.0,2.0,55.0
