location,size,total_sqft,bath
Rajaji Nagar,3,2300,4
 Devarachikkanahalli,2,947,2
Ganga Nagar Extension,3,1000,2
Tala Cauvery Layout,3,1720,2
5th Phase JP Nagar,2,812,2
Mahadevpura,3,1620,2
Malleshwaram,8,840,7
Kanakpura Road,2,1339,2
Panathur,3,1370,2
Motappa Layout,3,1360,2
Dodda Banaswadi,2,1120,2
Uttarahalli,2,1050,2
Marathahalli,2,1250,2
6th Phase JP Nagar,2,1280,2
Garudachar Palya,3,1960,3
Dasanapura,2,814,2
Vajarahalli,1,551,1
Venkatadri Layout,1,595,1
Abbigere,3,1260,2
NRI Layout,3,1565,2
KSRTC Layout,2,1200,2
Vishveshwarya Layout,3,600,4
Bharathi Nagar,3,1664,3
Sarjapur  Road,4,3200,4
Kanakpura Road,3,1300,3
Hennur Road,3,2264,3
Kadugodi,3,1430,2
Electronic City,2,1060,2
Whitefield,1,840,1
Thigalarapalya,2,1418,2
Bommenahalli,3,832,3
Kundalahalli,2,1175,2
Virat Nagar,2,1205,2
Banashankari Stage II,4,1500,2
Mahalakshmi Layout,3,1876,3
Hebbal,2,1320,2
Chikkalasandra,2,1224,2
Millers Road,3,2850,4
Dasarahalli,2,1220,2
Green Glen Layout,2,1250,2
Hebbal,2,1072,2
Whitefield,3,1585,3
Pillahalli,3,1900,2
KR Puram,3,1455,3
Subramanyapura,2,929,2
Kanakpura Road,2,1628,2
Cunningham Road,3,2700,3
Soundarya Layout,2,900,2
Bannerghatta Road,2,1400,2
Nagarbhavi,3,1630,2
Budigere,2,1139,2
Hommadevanahalli,2,927,2
KR Puram,2,1100,2
Gollarapalya Hosahalli,2,861,2
Kengeri,1,340,1
Hoskote,2,1065,2
Neeladri Nagar,2,1060,2
Gubbalala,4,4000,5
Uttarahalli,3,1385,2
Bommanahalli,3,1300,3
Old Madras Road,3,2425,3
4th T block Jayanagar,4,2080,4
Peenya,4,1200,4
Ambalipura,2,1351,2
Sarjapur  Road,1,691,1
Thanisandra,2,1100,2
3rd Block Hrbr Layout,5,1200,5
Kanakpura Road,1,458,1
Electronic City Phase II,2,1031,2
Sarjapur  Road,3,1220,3
Sarakki Nagar,3,2289,3
Hosur Road,2,1345,2
7th Phase JP Nagar,2,1050,2
Begur Road,3,1565,2
Brookefield,4,3050,4
JP Nagar,2,1152,2
Chandapura,2,1200,2
Hennur,4,2557,
Green Glen Layout,3,1625,3
Anand nagar,3,2010,3
Byrasandra,2,1140,2
Madiwala,2,1165,2
Ejipura,2,1200,2
Marathahalli,2,1200,2
Marathahalli,2,1220,2
Milk Colony,4,1200,4
Anwar Layout,1,720,1
Reliaable Tranquil Layout,3,1508,3
Haralur Road,3,1560,3
Electronic City,2,1353,2
Kenchenahalli,2,1015,2
KR Garden,2,1300,2
Hennur Road,3,1949,3
Raja Rajeshwari Nagar,2,1095,2
Mysore Road,3,1360,3
Doddabommasandra,3,1550,2
Balagere,2,1205,2
1st Phase JP Nagar,8,1200,7
Parappana Agrahara,2,1194,2
Kanakapura,2,1283,2
Hoodi,2,1257,2
Pattandur Agrahara,3,1550,2
tc.palya,2,1000,2
Chandapura,2,900,2
Haralur Road,2,1092,2
Narayana Nagar 1st Block,2,1202,2
Electronic City,3,1644,3
Sarjapur  Road,2,1117,2
Ramamurthy Nagar,2,1050,2
Kengeri Satellite Town,2,800,2
Anekal,2,1200,1
Sarjapur  Road,3,1565,3
Subramanyapura,2,960,2
Sarjapur,3,1333,3
Sonnenahalli,3,1484,3
JP Nagar,4,3200,5
Dasanapura,2,965,2
Nagarbhavi,3,1350,3
Chikkalasandra,3,1290,2
Kothanur,2,1075,2
Electronic City,2,1025,2
Sarjapur  Road,2,1045,2
Gowdanapalya,1,510,1
Raja Rajeshwari Nagar,2,1306,2
Lakshminarayana Pura,2,1210,2
Kanakpura Road,3,1495,2
