location,size,total_sqft,bath,predicted_price
Rajaji Nagar,3,2300.0,4.0,21415250.0
 Devarachikkanahalli,2,947.0,2.0,4673510.0
Ganga Nagar Extension,3,1000.0,2.0,4481265.0
Tala Cauvery Layout,3,1720.0,2.0,9252440.0
5th Phase JP Nagar,2,812.0,2.0,3296020.0
Mahadevpura,3,1620.0,2.0,9885220.0
Malleshwaram,8,840.0,7.0,12935000.0
Kanakpura Road,2,1339.0,2.0,8035560.476190477
Panathur,3,1370.0,2.0,7104980.0
Motappa Layout,3,1360.0,2.0,6078132.500000001
Dodda Banaswadi,2,1120.0,2.0,4815070.0
Uttarahalli,2,1050.0,2.0,4206800.0
Marathahalli,2,1250.0,2.0,9709553.333333334
6th Phase JP Nagar,2,1280.0,2.0,5956830.0
Garudachar Palya,3,1960.0,3.0,13528500.0
Dasanapura,2,814.0,2.0,4701755.0
Vajarahalli,1,551.0,1.0,1924340.0
Venkatadri Layout,1,595.0,1.0,3997460.0
Abbigere,3,1260.0,2.0,7110512.222222222
NRI Layout,3,1565.0,2.0,7739768.571428571
KSRTC Layout,2,1200.0,2.0,5284615.714285715
Vishveshwarya Layout,3,600.0,4.0,8733333.333333336
Bharathi Nagar,3,1664.0,3.0,9052058.095238095
Sarjapur  Road,4,3200.0,4.0,33811166.666666664
Kanakpura Road,3,1300.0,3.0,6402630.0
Hennur Road,3,2264.0,3.0,16405600.0
Kadugodi,3,1430.0,2.0,7680367.5
Electronic City,2,1060.0,2.0,5686795.158730159
Whitefield,1,840.0,1.0,5304652.142857142
Thigalarapalya,2,1418.0,2.0,10324797.113997117
Bommenahalli,3,832.0,3.0,9326700.0
Kundalahalli,2,1175.0,2.0,5047123.333333333
Virat Nagar,2,1205.0,2.0,5910663.333333332
Banashankari Stage II,4,1500.0,2.0,10891370.039682541
Mahalakshmi Layout,3,1876.0,3.0,12712116.666666668
Hebbal,2,1320.0,2.0,9910498.0
Chikkalasandra,2,1224.0,2.0,4911070.0
Millers Road,3,2850.0,4.0,23859333.33333333
Dasarahalli,2,1220.0,2.0,5526780.0
Green Glen Layout,2,1250.0,2.0,5940594.285714285
Hebbal,2,1072.0,2.0,5060710.0
Whitefield,3,1585.0,3.0,8671900.0
Pillahalli,3,1900.0,2.0,14760560.0
KR Puram,3,1455.0,3.0,7385256.666666666
Subramanyapura,2,929.0,2.0,4870118.904761905
Kanakpura Road,2,1628.0,2.0,9734885.0
Cunningham Road,3,2700.0,3.0,35294500.00000001
Soundarya Layout,2,900.0,2.0,4306333.333333334
Bannerghatta Road,2,1400.0,2.0,7321548.333333334
Nagarbhavi,3,1630.0,2.0,10030585.0
Budigere,2,1139.0,2.0,6533130.0
Hommadevanahalli,2,927.0,2.0,4252333.095238095
KR Puram,2,1100.0,2.0,4644832.142857143
Gollarapalya Hosahalli,2,861.0,2.0,3670280.0
Kengeri,1,340.0,1.0,1980890.0
Hoskote,2,1065.0,2.0,3185220.0
Neeladri Nagar,2,1060.0,2.0,4530210.0
Gubbalala,4,4000.0,5.0,44736178.57142857
Uttarahalli,3,1385.0,2.0,6236214.51190476
Bommanahalli,3,1300.0,3.0,6126580.0
Old Madras Road,3,2425.0,3.0,17066833.333333336
4th T block Jayanagar,4,2080.0,4.0,13451153.102453103
Peenya,4,1200.0,4.0,11855000.0
Ambalipura,2,1351.0,2.0,8945151.666666666
Sarjapur  Road,1,691.0,1.0,3676705.0
Thanisandra,2,1100.0,2.0,6872184.523809525
